msoa11,total,office,retail,leisure,industrial,other,ret_restaurants,ret_hs,ret_superstores
E02000001,22435,17412,3891,153,28,951,575,3240,6
E02000180,170,33,75,5,29,28,13,57,3
E02000183,467,246,156,4,26,35,38,117,1
E02000184,554,273,141,2,76,62,32,102,4
E02000186,1225,639,429,23,24,110,103,307,6
E02000187,858,478,278,9,26,67,55,216,5
E02000188,413,215,124,1,18,55,39,81,1
E02000189,552,291,112,35,68,46,36,68,1
E02000190,659,404,171,32,6,46,36,128,2
E02000191,1923,1243,477,42,9,152,133,314,18
E02000192,2943,2188,450,12,190,103,75,360,10
E02000193,4942,3581,1047,47,19,248,235,784,5
E02000362,452,200,68,9,139,36,18,50,0
E02000364,362,105,204,3,19,31,12,188,2
E02000365,944,313,390,11,180,50,47,328,5
E02000366,135,10,99,1,6,19,18,80,0
E02000367,1065,516,263,8,226,52,38,212,9
E02000368,178,71,59,3,21,24,7,47,3
E02000369,556,243,164,5,106,38,21,138,0
E02000370,367,239,54,6,41,27,10,43,0
E02000371,3965,2944,643,26,183,169,185,435,17
E02000372,665,353,87,4,157,64,14,71,0
E02000375,777,70,545,12,74,76,51,476,18
E02000378,263,112,110,8,7,26,16,87,4
E02000381,369,213,107,10,5,34,24,82,1
E02000382,303,89,127,5,47,35,39,85,2
E02000383,503,317,136,7,7,36,30,103,1
E02000384,1669,1215,300,9,50,95,68,219,5
E02000385,95,17,59,3,1,15,9,50,0
E02000386,166,27,103,3,7,26,22,78,3
E02000387,107,39,37,3,1,27,3,34,0
E02000388,323,44,222,7,18,32,30,183,4
E02000389,203,76,107,1,4,15,23,83,0
E02000390,238,70,130,1,14,23,9,120,0
E02000391,380,108,186,6,43,37,29,153,4
E02000392,598,232,276,3,50,37,44,227,2
E02000393,77,5,65,0,0,7,1,64,0
E02000394,407,226,160,1,8,12,10,132,18
E02000395,538,303,158,3,48,26,24,129,5
E02000396,357,163,102,5,50,37,11,88,3
E02000572,204,53,91,2,8,50,13,73,2
E02000573,1284,595,561,16,42,70,108,326,116
E02000574,812,431,306,9,11,55,65,237,3
E02000575,3325,2517,537,18,80,173,148,354,28
E02000576,2248,1719,330,18,23,158,75,236,11
E02000577,867,421,186,7,208,45,27,156,2
E02000579,209,70,35,4,79,21,4,31,0
E02000580,708,100,536,4,28,40,48,482,3
E02000581,239,155,35,3,17,29,8,23,1
E02000582,409,67,277,12,4,49,37,236,0
E02000583,279,47,186,3,8,35,26,155,4
E02000584,785,380,323,10,15,57,50,265,3
E02000585,153,53,36,16,7,41,7,28,1
E02000586,406,135,169,22,6,74,42,116,7
E02000587,472,222,182,7,6,55,30,143,3
E02000588,918,361,440,14,8,95,60,369,4
E02000589,291,60,134,40,12,45,31,93,4
E02000590,595,222,298,9,7,59,44,247,5
E02000591,159,35,60,33,2,29,16,41,2
E02000592,450,166,200,15,2,67,43,146,5
