msoa11,total,office,retail,leisure,industrial,other,ret_restaurants,ret_hs,ret_superstores
E02000001,21427,16484,3844,144,28,927,557,3212,6
E02000180,164,30,74,5,29,26,12,58,2
E02000183,459,240,156,3,25,35,38,117,1
E02000184,506,226,140,2,76,62,30,103,4
E02000186,1188,617,422,21,24,104,102,301,6
E02000187,835,467,267,8,26,67,54,205,5
E02000188,412,215,125,1,17,54,40,81,1
E02000189,542,285,111,34,68,44,36,67,1
E02000190,656,402,170,32,6,46,35,128,2
E02000191,1894,1222,475,42,9,146,131,313,19
E02000192,2884,2131,449,12,190,102,75,359,10
E02000193,4618,3279,1033,44,19,243,232,774,5
E02000362,383,141,62,6,138,36,15,47,0
E02000364,325,71,202,3,19,30,12,186,2
E02000365,921,301,385,9,180,46,47,324,3
E02000366,135,10,99,1,6,19,18,80,0
E02000367,996,452,257,7,227,53,36,208,9
E02000368,176,69,59,3,21,24,7,47,3
E02000369,538,232,160,4,106,36,21,133,1
E02000370,364,235,55,6,41,27,10,43,1
E02000371,3751,2755,624,24,185,163,177,424,17
E02000372,648,342,86,4,156,60,13,71,0
E02000375,762,67,537,12,74,72,50,470,17
E02000378,246,103,110,8,7,18,16,87,4
E02000381,363,208,107,10,5,33,24,82,1
E02000382,297,83,127,5,47,35,39,85,2
E02000383,485,304,132,7,7,35,29,100,1
E02000384,1490,1047,297,8,50,88,67,218,5
E02000385,94,17,58,3,1,15,9,49,0
E02000386,162,27,101,3,7,24,20,78,3
E02000387,106,38,37,3,1,27,3,34,0
E02000388,322,44,221,7,18,32,30,182,4
E02000389,200,74,106,1,4,15,23,82,0
E02000390,237,69,130,1,14,23,9,120,0
E02000391,374,102,186,6,43,37,29,153,4
E02000392,587,225,273,3,50,36,43,225,2
E02000393,74,5,62,0,0,7,0,62,0
E02000394,385,209,155,1,8,12,9,131,15
E02000395,533,300,156,3,47,27,24,127,5
E02000396,338,147,101,5,50,35,11,87,3
E02000572,201,53,91,2,8,47,13,73,2
E02000573,1244,589,533,11,42,69,103,322,97
E02000574,696,318,303,9,11,55,64,234,3
E02000575,3179,2378,534,16,79,172,150,349,28
E02000576,2101,1589,319,15,23,155,71,232,9
E02000577,845,405,182,6,207,45,27,152,2
E02000579,205,68,35,4,77,21,4,31,0
E02000580,698,97,530,4,28,39,46,477,3
E02000581,232,149,35,2,17,29,8,23,1
E02000582,404,67,276,12,4,45,37,235,0
E02000583,270,46,182,3,8,31,24,153,4
E02000584,775,378,318,10,15,54,48,262,3
E02000585,153,53,36,16,7,41,7,28,1
E02000586,402,133,168,22,6,73,42,115,7
E02000587,447,202,182,5,6,52,30,143,3
E02000588,908,360,435,14,8,91,58,365,4
E02000589,276,54,131,35,13,43,31,91,3
E02000590,588,219,295,9,7,58,44,244,5
E02000591,157,35,60,33,2,27,16,41,2
E02000592,446,164,201,14,2,65,44,146,5
E02000593,167,24,92,17,2,32,24,67,0
E02000594,376,115,198,8,3,52,23,170,3
E02000595,384,105,228,3,2,46,39,180,5
E02000596,263,84,143,1,4,31,36,106,1
E02000597,431,237,109,4,50,31,16,88,4
E02000619,393,238,77,3,22,53,9,66,0
E02000620,645,365,163,9,37,71,26,132,3
E02000621,592,290,183,8,54,57,22,158,1
E02000622,381,206,119,5,19,32,11,106,1
E02000623,72,9,34,3,12,14,13,19,0
E02000624,120,34,59,3,8,16,5,51,0
E02000625,237,52,117,2,34,32,9,103,2
E02000628,749,89,531,4,71,54,36,487,4
E02000629,298,92,135,5,46,20,22,109,1
E02000630,313,126,113,3,34,37,17,91,2
E02000633,366,174,141,4,12,35,17,112,7
E02000726,876,210,438,14,134,80,45,376,14
E02000808,3205,2375,536,23,143,128,163,362,3
E02000809,1474,952,315,16,112,79,83,218,8
E02000810,698,184,141,5,316,52,10,126,0
E02000812,782,422,235,3,50,72,45,184,1
E02000813,321,96,165,5,12,43,19,140,4
E02000815,358,123,157,9,23,46,19,132,1
E02000818,275,58,167,3,14,33,15,146,2
E02000820,281,68,84,3,99,27,11,73,0
E02000864,540,127,133,4,247,29,14,113,2
E02000865,487,214,125,5,106,37,17,96,10
E02000866,238,8,182,3,7,38,25,155,0
E02000867,554,257,51,2,209,35,7,41,0
E02000868,430,182,99,2,111,36,18,75,2
E02000869,332,69,163,2,81,17,17,142,2
E02000870,196,41,116,3,12,24,13,102,0
E02000871,185,46,43,3,57,36,4,38,0
E02000872,523,112,311,9,54,37,34,269,6
E02000873,176,37,96,1,7,35,11,80,0
E02000874,325,162,69,4,55,35,7,59,2
E02000875,198,27,62,6,82,21,3,56,1
E02000876,540,159,254,7,77,43,26,215,7
E02000877,288,53,117,2,58,58,14,100,0
E02000878,2348,1380,748,11,96,113,139,586,13
E02000879,189,40,77,0,42,30,15,58,3
E02000880,345,136,118,3,50,38,10,92,12
E02000881,243,72,48,1,85,37,4,44,0
E02000882,132,11,76,3,15,27,11,63,2
E02000883,241,46,156,3,0,36,18,133,1
E02000884,1767,1067,457,18,128,97,58,341,55
E02000885,274,46,166,2,28,32,8,151,6
E02000886,219,55,80,4,46,34,12,67,0
E02000887,171,41,49,6,18,57,8,36,3
E02000888,526,92,97,12,282,43,12,83,0
E02000889,382,198,59,38,32,55,15,40,3
E02000890,575,370,111,8,11,75,36,74,1
E02000891,1372,781,121,16,55,399,33,85,2
E02000893,73,10,35,0,2,26,6,28,0
E02000894,108,64,19,0,5,20,4,14,0
E02000923,231,112,75,4,9,31,18,54,0
E02000924,1248,420,233,11,516,68,37,184,8
E02000925,132,33,80,1,0,18,11,67,1
E02000926,457,215,150,10,41,41,33,102,12
E02000927,330,46,134,0,134,16,23,107,3
E02000928,236,61,126,15,8,26,26,99,1
E02000929,70,5,45,2,3,15,3,40,1
E02000930,437,72,300,3,13,49,58,232,5
E02000931,76,8,52,2,4,10,7,44,0
E02000932,932,339,419,15,77,82,75,310,15
E02000933,142,42,70,2,3,25,9,59,0
E02000934,326,59,204,7,7,49,35,157,4
E02000936,127,87,19,1,2,18,4,10,3
E02000940,449,162,207,8,27,45,31,157,8
E02000941,96,9,46,0,26,15,3,40,2
E02000960,208,44,128,4,2,30,17,106,1
