msoa11,total,office,retail,leisure,industrial,other,ret_restaurants,ret_hs,ret_superstores
E02000001,22293,17275,3889,153,28,948,574,3240,6
E02000180,169,33,75,5,28,28,13,57,3
E02000183,467,246,156,4,26,35,38,117,1
E02000184,554,273,141,2,76,62,32,102,4
E02000186,1223,639,428,22,24,110,102,307,6
E02000187,853,473,278,9,26,67,55,216,5
E02000188,413,215,124,1,18,55,39,81,1
E02000189,550,289,112,35,68,46,36,68,1
E02000190,659,404,171,32,6,46,36,128,2
E02000191,1921,1241,477,42,9,152,133,314,18
E02000192,2941,2187,449,12,190,103,75,359,10
E02000193,4932,3571,1047,47,19,248,235,784,5
E02000362,452,200,68,9,139,36,18,50,0
E02000364,333,76,204,3,19,31,12,188,2
E02000365,939,309,390,10,180,50,47,328,5
E02000366,135,10,99,1,6,19,18,80,0
E02000367,1064,515,263,8,226,52,38,212,9
E02000368,177,70,59,3,21,24,7,47,3
E02000369,556,243,164,5,106,38,21,138,0
E02000370,366,238,54,6,41,27,10,43,0
E02000371,3964,2944,642,26,183,169,185,434,17
E02000372,661,349,87,4,157,64,14,71,0
E02000375,777,70,545,12,74,76,51,476,18
E02000378,263,112,110,8,7,26,16,87,4
E02000381,369,213,107,10,5,34,24,82,1
E02000382,303,89,127,5,47,35,39,85,2
E02000383,500,315,135,7,7,36,30,102,1
E02000384,1666,1212,300,9,50,95,68,219,5
E02000385,94,17,58,3,1,15,9,49,0
E02000386,166,27,103,3,7,26,22,78,3
E02000387,107,39,37,3,1,27,3,34,0
E02000388,323,44,222,7,18,32,30,183,4
E02000389,202,75,107,1,4,15,23,83,0
E02000390,238,70,130,1,14,23,9,120,0
E02000391,380,108,186,6,43,37,29,153,4
E02000392,596,232,274,3,50,37,43,226,2
E02000393,77,5,65,0,0,7,1,64,0
E02000394,407,226,160,1,8,12,10,132,18
E02000395,538,304,157,3,48,26,24,128,5
E02000396,352,158,102,5,50,37,11,88,3
E02000572,204,53,91,2,8,50,13,73,2
E02000573,1283,595,560,16,42,70,108,325,116
E02000574,811,431,305,9,11,55,64,237,3
E02000575,3318,2511,536,18,80,173,148,353,28
E02000576,2243,1716,330,17,23,157,75,236,11
E02000577,867,421,186,7,208,45,27,156,2
E02000579,207,70,35,4,77,21,4,31,0
E02000580,708,100,536,4,28,40,48,482,3
E02000581,238,154,35,3,17,29,8,23,1
E02000582,409,67,277,12,4,49,37,236,0
E02000583,277,45,186,3,8,35,26,155,4
E02000584,785,380,323,10,15,57,50,265,3
